gender,parental level of education,lunch,test preparation course,math score,reading score,writing score,family income,study hours 
female,high school,free/reduced,completed,67,79,83,Medium,13.0
female,bachelor's degree,free/reduced,none,74,85,82,Low,5.0
male,master's degree,standard,none,67,56,58,Low,10.0
female,some college,standard,none,63,65,61,High,8.0
male,some college,standard,none,76,67,66,Low,8.0
female,bachelor's degree,standard,none,64,71,74,Medium,13.0
male,high school,free/reduced,completed,64,64,67,Medium,9.0
female,master's degree,free/reduced,completed,65,81,81,High,12.0
female,some high school,standard,none,77,78,79,Medium,18.0
female,associate's degree,standard,completed,59,70,66,Low,5.0
male,high school,free/reduced,completed,77,77,79,Medium,13.0
male,associate's degree,free/reduced,none,52,56,49,Medium,17.0
female,bachelor's degree,standard,none,79,88,89,Low,14.0
male,some high school,free/reduced,completed,55,59,58,Low,16.0
male,some high school,standard,completed,74,70,77,Low,5.0
female,associate's degree,standard,none,58,63,65,High,16.0
male,associate's degree,standard,none,53,52,46,Medium,18.0
female,associate's degree,free/reduced,none,51,76,69,Low,13.0
female,master's degree,standard,completed,70,70,74,High,10.0
female,associate's degree,standard,completed,72,75,80,Medium,10.0
female,some college,standard,none,61,72,69,Low,14.0
female,some college,free/reduced,none,61,68,66,Medium,7.0
male,bachelor's degree,standard,completed,76,62,66,Low,13.0
female,associate's degree,standard,none,81,95,88,Low,13.0
female,associate's degree,standard,none,76,77,72,Low,14.0
female,high school,standard,none,59,67,71,High,0.0
male,some college,free/reduced,none,55,55,47,Low,20.0
male,associate's degree,free/reduced,none,48,50,50,Low,15.0
male,some college,standard,completed,64,77,73,Low,18.0
male,some college,standard,completed,85,75,67,Medium,0.0
male,associate's degree,standard,completed,66,53,63,Medium,10.0
female,bachelor's degree,standard,none,59,72,70,High,0.0
female,high school,free/reduced,none,56,58,57,Medium,9.0
male,associate's degree,standard,none,89,78,81,Low,10.0
female,associate's degree,standard,none,53,57,64,Medium,0.0
male,some high school,standard,completed,46,40,42,Medium,15.0
male,high school,free/reduced,none,62,55,55,Low,5.0
male,some college,standard,none,73,73,61,Medium,0.0
female,some college,standard,none,61,70,71,Low,6.0
female,bachelor's degree,standard,completed,78,81,82,Low,16.0
male,some high school,free/reduced,completed,53,36,39,Low,8.0
female,some high school,standard,completed,67,74,76,Low,19.0
male,associate's degree,standard,completed,71,74,67,Medium,19.0
male,some high school,free/reduced,completed,53,37,39,Low,9.0
female,associate's degree,free/reduced,none,52,76,69,Low,13.0
female,some college,standard,none,19,38,32,High,15.0
male,high school,standard,completed,53,52,48,Medium,18.0
male,associate's degree,standard,none,80,74,69,Low,10.0
female,some college,free/reduced,none,59,66,69,Low,18.0
female,some high school,standard,none,47,53,53,Medium,6.0
female,some high school,standard,none,80,90,81,Low,18.0
female,some college,standard,none,76,78,80,Medium,15.0
female,associate's degree,standard,completed,67,86,83,High,5.0
male,some college,standard,none,91,73,76,Low,5.0
male,bachelor's degree,standard,completed,85,66,71,High,19.0
female,some high school,standard,completed,59,70,70,Medium,10.0
female,high school,standard,none,61,72,62,Medium,7.0
male,master's degree,standard,none,81,81,83,Low,8.0
female,some college,standard,none,69,74,74,High,7.0
female,bachelor's degree,standard,none,75,83,79,Low,9.0
male,some college,standard,none,78,73,66,Low,9.0
male,associate's degree,standard,none,46,37,34,Low,16.0
female,high school,standard,none,47,61,59,High,13.0
female,associate's degree,standard,none,72,75,80,Medium,0.0
male,some college,standard,completed,69,76,77,Medium,15.0
male,some college,standard,none,96,86,81,Medium,18.0
male,some college,free/reduced,none,74,81,73,Low,5.0
female,some college,standard,completed,88,94,91,Low,13.0
male,some high school,standard,none,74,63,57,Medium,8.0
male,bachelor's degree,standard,none,76,67,67,Low,5.0
female,some high school,standard,none,47,65,64,Low,16.0
male,associate's degree,free/reduced,completed,46,43,44,Medium,20.0
female,some college,standard,none,62,63,66,Low,16.0
male,some college,standard,completed,81,82,88,Low,19.0
male,bachelor's degree,standard,none,68,67,64,Medium,5.0
male,some high school,standard,completed,70,69,67,Medium,12.0
female,some college,standard,completed,69,79,81,Medium,0.0
female,some high school,standard,none,59,57,58,Medium,9.0
male,associate's degree,free/reduced,none,63,55,51,High,14.0
male,some high school,free/reduced,completed,54,58,59,Low,17.0
female,high school,standard,none,43,60,51,High,11.0
male,master's degree,free/reduced,none,61,66,66,Medium,15.0
male,some college,standard,none,58,41,41,High,14.0
male,some college,standard,completed,87,83,85,Low,0.0
female,bachelor's degree,standard,none,83,92,94,Medium,12.0
female,high school,standard,none,58,71,67,Medium,13.0
female,some high school,standard,none,68,75,77,Medium,10.0
female,some college,standard,completed,75,81,83,Low,6.0
male,some college,standard,none,83,87,80,Low,13.0
female,high school,free/reduced,completed,65,74,78,Medium,11.0
male,associate's degree,standard,completed,62,60,58,High,10.0
female,some high school,standard,completed,60,70,73,Low,10.0
female,bachelor's degree,standard,completed,92,99,99,High,16.0
female,some high school,standard,none,46,54,52,Medium,7.0
male,associate's degree,free/reduced,none,56,55,57,Medium,13.0
male,associate's degree,standard,none,81,71,72,Medium,14.0
female,associate's degree,standard,none,65,76,74,High,4.0
female,some college,free/reduced,none,60,67,66,Medium,6.0
female,associate's degree,free/reduced,none,49,56,54,Medium,13.0
male,high school,standard,none,49,48,42,Medium,17.0
female,some college,free/reduced,completed,57,63,72,Medium,14.0
female,some high school,free/reduced,none,50,63,58,Low,0.0
female,some college,standard,none,56,57,63,High,13.0
male,some college,free/reduced,completed,86,73,69,Low,12.0
male,some high school,free/reduced,none,68,63,54,High,12.0
male,bachelor's degree,free/reduced,none,37,56,46,Medium,14.0
male,some college,free/reduced,none,28,23,19,Medium,19.0
female,associate's degree,standard,completed,95,89,92,High,14.0
male,high school,free/reduced,none,48,44,45,Low,18.0
male,associate's degree,standard,completed,80,71,76,High,19.0
male,high school,standard,none,81,66,64,High,0.0
female,bachelor's degree,standard,none,79,88,89,Low,14.0
female,some college,standard,none,76,78,80,Medium,14.0
male,some high school,free/reduced,completed,55,59,58,Low,16.0
female,some college,free/reduced,none,61,71,70,High,6.0
female,associate's degree,standard,completed,79,88,93,Medium,18.0
female,some college,standard,completed,63,72,70,Medium,13.0
male,some college,standard,completed,70,75,69,High,17.0
female,high school,free/reduced,none,71,86,81,Low,8.0
female,some college,free/reduced,none,58,61,65,Medium,0.0
female,some college,standard,completed,87,93,92,Low,10.0
female,associate's degree,standard,none,81,76,78,Low,17.0
male,some high school,standard,completed,87,84,76,Low,14.0
female,some high school,free/reduced,none,49,58,54,Low,16.0
female,some high school,standard,completed,58,54,66,Medium,6.0
female,some high school,standard,none,63,73,67,Medium,0.0
female,some college,free/reduced,none,57,66,62,Low,8.0
female,some college,standard,none,62,74,74,Medium,12.0
female,high school,standard,completed,56,67,73,Medium,13.0
male,some college,standard,none,88,76,77,Low,8.0
male,associate's degree,standard,none,75,68,63,Medium,15.0
male,associate's degree,free/reduced,none,62,61,55,Low,19.0
female,associate's degree,standard,completed,54,72,78,High,5.0
male,associate's degree,free/reduced,none,52,56,50,Medium,18.0
female,some high school,standard,none,80,89,82,Low,17.0
male,bachelor's degree,standard,none,64,59,57,Low,11.0
male,some high school,standard,completed,45,41,43,Medium,14.0
male,some high school,free/reduced,none,61,48,52,Low,8.0
female,high school,free/reduced,completed,23,44,36,Low,15.0
male,associate's degree,standard,none,80,63,63,Low,19.0
female,associate's degree,standard,completed,71,76,76,Medium,0.0
male,high school,standard,none,70,66,65,Medium,16.0
male,some high school,standard,none,86,79,75,Medium,4.0
female,some college,free/reduced,none,61,66,61,Medium,0.0
male,high school,standard,none,60,67,60,Low,0.0
male,associate's degree,standard,none,83,72,77,Low,7.0
female,some high school,standard,none,59,71,80,Medium,6.0
female,associate's degree,standard,none,84,83,81,High,11.0
female,some high school,standard,completed,84,89,92,Medium,15.0
female,associate's degree,free/reduced,none,72,75,78,Medium,15.0
male,some college,free/reduced,none,73,76,73,Medium,0.0
female,some college,free/reduced,none,48,58,60,Low,18.0
female,associate's degree,standard,completed,59,72,72,Medium,18.0
male,associate's degree,free/reduced,none,64,65,58,High,12.0
female,high school,standard,none,50,53,54,Low,13.0
male,associate's degree,standard,none,54,52,46,Medium,18.0
female,some high school,free/reduced,none,73,73,72,Medium,17.0
male,associate's degree,free/reduced,none,67,64,60,Low,19.0
female,associate's degree,free/reduced,none,57,78,67,Low,4.0
female,some high school,standard,completed,59,53,67,Medium,7.0
female,associate's degree,standard,none,81,94,89,Low,13.0
male,some high school,standard,completed,65,67,63,Medium,11.0
male,some high school,standard,none,72,68,67,Medium,11.0
male,some high school,standard,completed,47,49,49,Medium,7.0
female,some high school,standard,none,59,72,80,Medium,5.0
female,some high school,free/reduced,completed,68,85,81,Low,15.0
male,some college,free/reduced,none,79,63,65,Medium,7.0
female,associate's degree,free/reduced,none,53,69,69,Low,12.0
female,master's degree,free/reduced,none,51,64,61,Medium,19.0
female,bachelor's degree,standard,none,58,69,73,Low,10.0
male,bachelor's degree,standard,none,91,95,91,Low,18.0
female,associate's degree,free/reduced,none,40,51,48,Low,9.0
female,associate's degree,standard,none,76,77,73,Low,15.0
female,high school,free/reduced,none,8,23,22,Low,11.0
male,associate's degree,standard,none,57,53,51,Medium,8.0
male,high school,standard,none,71,73,63,Low,10.0
female,some high school,standard,completed,59,84,80,High,9.0
male,associate's degree,free/reduced,completed,60,51,55,Medium,10.0
female,associate's degree,standard,none,52,57,65,Medium,0.0
female,high school,standard,none,44,62,58,Medium,6.0
female,associate's degree,standard,none,67,75,66,Low,0.0
male,high school,standard,none,68,69,65,Medium,0.0
male,some college,standard,completed,86,84,86,Low,0.0
male,bachelor's degree,standard,none,67,68,63,Medium,5.0
female,master's degree,standard,none,76,89,83,High,8.0
female,high school,standard,none,50,50,47,Medium,15.0
male,some high school,standard,none,68,65,60,Low,11.0
female,high school,standard,none,55,52,55,Medium,17.0
male,master's degree,standard,none,82,81,74,High,8.0
male,bachelor's degree,standard,none,57,55,47,Low,10.0
female,high school,standard,none,74,85,79,Low,11.0
female,high school,standard,none,42,52,51,High,17.0
female,some college,standard,none,57,58,65,Medium,20.0
female,associate's degree,standard,none,71,82,77,Medium,13.0
male,some college,standard,none,88,77,77,Low,8.0
male,associate's degree,standard,completed,81,71,76,High,19.0
female,associate's degree,free/reduced,completed,68,77,80,Medium,17.0
female,high school,standard,completed,57,75,77,Low,7.0
male,some high school,free/reduced,completed,56,61,60,Medium,4.0
male,some college,free/reduced,none,34,28,27,Medium,15.0
female,high school,standard,none,65,72,70,Medium,8.0
male,some college,standard,completed,78,79,78,Low,8.0
male,bachelor's degree,free/reduced,none,55,45,44,Low,8.0
male,high school,free/reduced,none,57,61,52,Low,6.0
male,high school,standard,none,56,48,50,High,17.0
male,some college,free/reduced,none,69,66,59,High,14.0
female,high school,standard,none,59,72,67,Medium,12.0
male,some high school,standard,none,86,79,74,Medium,4.0
female,some college,standard,completed,85,85,98,Medium,7.0
female,associate's degree,standard,completed,74,74,83,Medium,0.0
male,associate's degree,standard,none,69,76,69,Medium,12.0
female,associate's degree,free/reduced,completed,74,88,90,Medium,10.0
female,some college,standard,none,56,57,64,High,12.0
female,master's degree,free/reduced,completed,46,57,66,Medium,13.0
male,master's degree,standard,completed,91,84,85,High,0.0
female,some college,free/reduced,none,49,65,54,Medium,9.0
female,associate's degree,free/reduced,none,36,57,56,Medium,0.0
female,some high school,free/reduced,completed,50,59,59,Low,15.0
male,bachelor's degree,standard,none,83,77,72,Medium,11.0
female,bachelor's degree,free/reduced,none,63,72,77,Medium,10.0
female,some college,free/reduced,completed,62,72,71,High,11.0
male,associate's degree,standard,completed,51,60,58,Medium,15.0
female,some college,standard,none,59,70,70,High,0.0
female,high school,standard,none,80,83,81,High,18.0
female,some high school,free/reduced,none,0,16,9,Low,0.0
male,associate's degree,free/reduced,none,60,58,56,Low,11.0
female,associate's degree,standard,none,57,63,64,High,15.0
female,associate's degree,standard,none,58,72,68,Medium,11.0
male,associate's degree,standard,completed,96,91,86,Medium,14.0
female,some college,standard,none,54,48,51,Medium,7.0
female,some college,standard,none,70,69,76,Medium,0.0
male,associate's degree,free/reduced,none,64,65,59,High,12.0
male,associate's degree,standard,none,79,74,69,Low,10.0
female,associate's degree,standard,none,81,76,78,Low,18.0
male,associate's degree,standard,none,57,54,51,Medium,9.0
male,bachelor's degree,free/reduced,none,62,72,65,Low,0.0
female,master's degree,standard,none,50,52,58,Low,0.0
male,associate's degree,standard,none,61,41,41,Medium,19.0
female,high school,standard,completed,74,79,80,Low,16.0
male,some high school,standard,none,62,63,54,Low,15.0
female,associate's degree,free/reduced,none,54,58,61,Medium,19.0
female,some college,free/reduced,none,76,83,88,Medium,20.0
female,high school,standard,none,72,79,83,High,5.0
female,some college,standard,none,75,77,80,Medium,15.0
female,bachelor's degree,standard,none,77,82,79,Low,11.0
male,some high school,standard,none,81,66,60,High,15.0
female,bachelor's degree,standard,completed,58,64,74,Medium,14.0
male,some high school,standard,completed,62,65,67,Medium,18.0
male,some high school,standard,none,56,61,54,Medium,0.0
male,bachelor's degree,standard,completed,87,83,86,Low,17.0
female,master's degree,free/reduced,completed,64,80,80,High,12.0
male,associate's degree,standard,completed,51,59,57,Medium,15.0
female,some college,standard,completed,50,64,65,Low,18.0
female,associate's degree,free/reduced,none,52,71,67,High,18.0
female,some college,standard,none,64,70,70,Low,14.0
female,some college,standard,none,51,58,54,Medium,0.0
female,some college,free/reduced,completed,69,77,77,High,0.0
female,associate's degree,standard,completed,82,84,89,Low,4.0
male,some high school,standard,completed,62,59,57,Low,6.0
female,high school,standard,none,62,63,63,Low,10.0
male,high school,free/reduced,completed,57,51,51,High,19.0
male,bachelor's degree,free/reduced,none,36,55,46,Medium,14.0
male,associate's degree,standard,none,47,43,44,Medium,8.0
male,bachelor's degree,free/reduced,completed,70,74,73,Medium,10.0
female,high school,standard,none,80,84,82,High,19.0
female,high school,free/reduced,completed,51,57,56,Low,4.0
female,some high school,standard,none,73,84,85,Low,12.0
male,some high school,standard,none,82,66,61,High,16.0
female,some high school,standard,completed,59,69,69,Medium,10.0
male,master's degree,standard,none,78,71,68,Medium,15.0
female,associate's degree,standard,completed,66,83,85,High,8.0
female,some high school,free/reduced,none,64,86,79,Medium,13.0
female,some high school,standard,none,77,78,79,Medium,18.0
male,high school,free/reduced,none,35,28,26,High,13.0
male,high school,standard,none,72,65,66,High,7.0
female,some high school,free/reduced,completed,74,89,88,Low,4.0
female,master's degree,free/reduced,completed,52,69,61,High,13.0
female,some college,free/reduced,none,77,86,86,Medium,17.0
male,some college,standard,completed,60,51,51,Medium,0.0
male,some college,standard,none,71,49,51,Low,5.0
male,some college,standard,completed,84,81,84,Medium,19.0
female,some high school,standard,none,58,71,79,Medium,6.0
male,associate's degree,standard,none,62,64,57,High,5.0
female,associate's degree,standard,none,81,94,88,Low,13.0
male,high school,standard,none,57,50,54,Low,6.0
female,some college,standard,none,66,75,74,Medium,17.0
female,some high school,standard,none,49,62,55,Medium,18.0
female,some high school,standard,none,63,72,67,Medium,0.0
male,high school,standard,none,82,81,80,Medium,14.0
male,some college,standard,none,84,77,71,Medium,12.0
male,bachelor's degree,standard,none,59,54,51,High,16.0
male,master's degree,free/reduced,completed,62,67,74,Medium,18.0
male,some college,free/reduced,none,35,27,27,Medium,15.0
male,associate's degree,free/reduced,none,55,60,54,High,5.0
male,bachelor's degree,standard,none,66,59,57,Low,18.0
male,master's degree,free/reduced,none,48,52,51,Medium,14.0
female,master's degree,standard,completed,68,84,84,Low,0.0
female,bachelor's degree,standard,none,61,72,70,Low,5.0
female,some college,free/reduced,completed,63,84,84,Low,12.0
female,associate's degree,standard,completed,51,58,61,Low,18.0
male,some high school,free/reduced,none,58,42,40,High,15.0
male,bachelor's degree,free/reduced,none,61,62,55,Low,7.0
male,some high school,free/reduced,none,78,81,73,Medium,0.0
female,master's degree,free/reduced,completed,46,58,66,Medium,13.0
male,associate's degree,free/reduced,none,89,87,74,Medium,6.0
female,some high school,standard,none,59,57,59,Medium,9.0
female,high school,free/reduced,none,38,51,45,Low,15.0
male,bachelor's degree,standard,none,58,53,50,High,17.0
female,bachelor's degree,standard,none,64,79,81,Medium,18.0
female,some college,standard,none,99,92,96,High,16.0
female,high school,standard,completed,74,82,79,Medium,6.0
female,some college,standard,completed,74,77,82,Low,6.0
male,associate's degree,free/reduced,none,77,78,72,Medium,13.0
female,associate's degree,free/reduced,completed,73,87,89,Medium,10.0
male,some college,free/reduced,none,60,46,56,Medium,13.0
male,associate's degree,free/reduced,none,60,58,55,Low,11.0
male,associate's degree,standard,none,84,76,70,Medium,14.0
male,some college,standard,none,58,50,44,Low,13.0
male,some college,standard,none,88,77,76,Low,8.0
male,high school,standard,none,46,46,41,High,13.0
male,some high school,standard,completed,65,68,64,Medium,11.0
male,associate's degree,standard,none,49,51,43,Medium,5.0
male,some high school,free/reduced,none,69,70,65,Low,8.0
male,some college,standard,none,68,54,55,High,11.0
female,master's degree,standard,completed,94,99,99,High,12.0
male,associate's degree,free/reduced,completed,42,44,50,Low,18.0
male,associate's degree,free/reduced,none,57,55,57,Medium,13.0
male,associate's degree,standard,none,72,57,61,Medium,11.0
female,some college,standard,none,72,76,78,Low,7.0
female,high school,standard,none,60,68,62,Medium,17.0
male,high school,free/reduced,none,45,47,48,Low,4.0
male,some college,standard,none,87,73,78,Low,11.0
male,high school,free/reduced,completed,56,55,54,Medium,7.0
male,some high school,standard,completed,76,70,68,Medium,20.0
male,associate's degree,free/reduced,completed,79,82,80,Low,13.0
male,high school,free/reduced,completed,78,76,80,Medium,14.0
female,some high school,free/reduced,none,74,73,71,Medium,18.0
female,master's degree,free/reduced,completed,51,70,62,High,13.0
female,associate's degree,standard,none,64,76,76,Low,6.0
male,high school,standard,none,88,87,78,Medium,10.0
female,some college,free/reduced,none,58,61,63,Low,8.0
male,associate's degree,free/reduced,completed,78,81,81,Low,11.0
male,some college,standard,none,82,79,73,High,9.0
female,associate's degree,standard,completed,82,84,86,Medium,16.0
male,associate's degree,standard,none,61,48,46,Medium,7.0
female,some college,standard,completed,49,64,65,Low,19.0
male,associate's degree,standard,completed,80,81,81,High,10.0
female,high school,standard,completed,57,58,64,Low,18.0
male,some college,standard,none,40,41,38,Medium,8.0
female,some college,standard,none,78,86,91,High,17.0
female,associate's degree,standard,none,50,51,54,Low,16.0
female,bachelor's degree,standard,completed,98,99,100,High,14.0
male,some college,standard,none,80,82,84,High,15.0
male,some high school,standard,completed,88,74,75,High,0.0
male,high school,standard,completed,86,91,81,Medium,20.0
male,some high school,standard,none,52,54,47,Low,14.0
female,high school,standard,none,49,53,54,Low,13.0
male,bachelor's degree,standard,completed,85,65,70,High,19.0
female,some high school,standard,completed,59,70,74,Low,9.0
male,some college,free/reduced,completed,66,73,69,High,14.0
female,high school,standard,completed,87,99,99,Medium,15.0
female,bachelor's degree,standard,completed,68,75,81,Medium,5.0
female,master's degree,standard,none,64,62,65,High,5.0
female,bachelor's degree,free/reduced,none,29,41,46,Medium,18.0
male,some college,free/reduced,none,62,61,60,Medium,0.0
male,associate's degree,free/reduced,completed,100,100,93,Low,7.0
male,high school,free/reduced,none,48,44,45,Low,18.0
male,associate's degree,standard,none,90,87,84,Medium,16.0
female,some college,free/reduced,none,61,60,57,Low,16.0
female,some high school,standard,none,66,68,67,Medium,17.0
female,some college,free/reduced,completed,57,62,72,Medium,13.0
female,some high school,standard,none,66,88,82,Low,12.0
female,high school,free/reduced,completed,51,56,56,Low,5.0
male,associate's degree,standard,none,49,51,42,Medium,5.0
female,bachelor's degree,standard,completed,51,60,65,Low,14.0
female,high school,standard,none,50,50,47,Medium,16.0
female,master's degree,free/reduced,completed,46,58,67,Medium,14.0
male,bachelor's degree,free/reduced,completed,38,41,38,Low,17.0
female,some high school,free/reduced,none,43,52,53,Low,9.0
female,some college,standard,completed,72,79,82,Medium,16.0
male,high school,standard,none,59,68,59,Low,0.0
female,associate's degree,standard,completed,55,64,61,Medium,13.0
female,bachelor's degree,standard,completed,59,63,74,Medium,14.0
female,high school,standard,completed,68,83,78,Medium,13.0
male,some high school,standard,completed,47,48,49,Medium,7.0
male,some high school,free/reduced,completed,80,78,79,Medium,16.0
male,high school,standard,none,57,50,53,Low,7.0
male,associate's degree,standard,completed,80,80,79,Low,15.0
male,master's degree,standard,none,90,84,84,Low,0.0
female,bachelor's degree,standard,none,62,74,81,High,17.0
female,some college,standard,completed,74,81,84,Low,5.0
female,master's degree,standard,completed,88,98,94,High,9.0
female,some college,standard,none,68,69,66,Medium,5.0
female,associate's degree,standard,completed,94,88,91,High,15.0
female,associate's degree,standard,completed,95,88,91,High,15.0
male,associate's degree,standard,completed,65,62,63,Low,8.0
male,associate's degree,standard,none,74,68,64,Medium,15.0
male,some college,standard,none,87,76,77,Low,7.0
female,some college,standard,none,69,83,82,Medium,12.0
male,some college,free/reduced,none,54,54,44,Medium,19.0
male,master's degree,standard,none,80,80,72,High,15.0
female,some college,free/reduced,completed,53,65,72,High,5.0
female,bachelor's degree,standard,none,96,96,96,Low,11.0
male,associate's degree,free/reduced,completed,39,54,52,Low,5.0
male,some high school,free/reduced,completed,48,49,52,Low,6.0
female,some college,free/reduced,none,55,71,68,Medium,16.0
female,some high school,standard,none,64,68,76,Medium,7.0
male,some college,standard,completed,87,83,86,Low,0.0
female,associate's degree,standard,none,49,52,53,Low,10.0
male,some high school,free/reduced,none,78,75,65,Medium,9.0
male,some college,standard,none,86,76,73,Low,0.0
male,some high school,standard,none,30,25,21,Medium,19.0
male,bachelor's degree,standard,none,66,63,61,High,5.0
female,associate's degree,standard,none,84,92,85,Medium,14.0
male,some high school,standard,none,73,62,56,Medium,8.0
male,high school,standard,completed,72,64,67,Medium,4.0
female,some college,standard,none,81,84,87,Low,6.0
female,some college,standard,none,79,90,89,Medium,19.0
female,bachelor's degree,free/reduced,none,74,84,82,Low,5.0
female,bachelor's degree,standard,none,72,71,74,Low,7.0
female,associate's degree,free/reduced,completed,75,89,88,Low,15.0
female,some high school,standard,completed,80,84,84,Medium,7.0
male,associate's degree,free/reduced,none,48,51,51,Low,16.0
male,some high school,standard,none,72,66,62,Low,11.0
female,high school,standard,completed,56,68,73,Medium,13.0
male,some high school,standard,none,61,67,60,Low,0.0
male,some college,standard,none,91,74,76,Low,4.0
male,some college,free/reduced,none,65,57,48,Low,0.0
male,associate's degree,free/reduced,completed,91,73,80,Low,12.0
female,associate's degree,standard,completed,65,69,73,Medium,12.0
female,some college,free/reduced,none,53,57,57,Medium,8.0
male,associate's degree,standard,completed,93,85,81,Medium,17.0
male,bachelor's degree,standard,none,69,62,60,High,11.0
female,bachelor's degree,standard,completed,98,100,100,High,14.0
female,high school,standard,none,61,68,62,Medium,17.0
male,high school,standard,none,89,87,78,Medium,11.0
male,associate's degree,standard,none,46,42,41,Low,7.0
male,some college,standard,completed,61,51,51,Medium,0.0
female,bachelor's degree,standard,completed,64,81,81,Medium,12.0
female,associate's degree,standard,none,84,84,82,High,11.0
male,some college,free/reduced,none,49,56,45,Medium,11.0
male,some high school,standard,completed,46,41,43,Medium,15.0
female,high school,free/reduced,completed,33,47,40,Medium,14.0
female,master's degree,standard,none,54,59,63,Low,15.0
male,bachelor's degree,standard,completed,87,83,86,Low,16.0
male,associate's degree,standard,none,75,68,63,Medium,15.0
female,high school,standard,none,66,70,76,Low,16.0
male,some college,free/reduced,none,40,39,33,Low,13.0
female,associate's degree,standard,completed,67,84,81,Low,8.0
female,bachelor's degree,free/reduced,none,73,78,83,Medium,17.0
female,high school,free/reduced,none,48,56,52,Low,16.0
male,high school,free/reduced,none,36,29,26,High,13.0
female,master's degree,standard,none,49,53,57,Low,0.0
female,some college,free/reduced,none,21,39,32,Low,20.0
male,some college,free/reduced,none,74,76,73,Medium,0.0
female,associate's degree,free/reduced,completed,74,88,89,Medium,10.0
male,some college,standard,completed,71,74,69,High,18.0
female,some college,free/reduced,completed,75,87,84,Medium,0.0
female,some college,free/reduced,none,64,80,76,Low,14.0
male,high school,free/reduced,none,48,44,44,Low,19.0
male,associate's degree,standard,none,82,72,77,Low,7.0
male,bachelor's degree,standard,completed,67,61,68,Low,15.0
female,some college,free/reduced,none,63,74,75,Low,9.0
female,bachelor's degree,standard,completed,65,73,81,Medium,12.0
female,master's degree,standard,none,89,95,92,Medium,11.0
female,some high school,free/reduced,none,46,59,49,Low,10.0
male,high school,standard,none,60,68,59,Low,0.0
female,high school,free/reduced,none,49,56,51,Low,16.0
male,some high school,free/reduced,none,62,48,52,Low,8.0
male,some college,standard,none,68,66,69,High,14.0
male,bachelor's degree,free/reduced,none,54,46,44,Low,8.0
female,high school,standard,none,80,84,82,High,19.0
male,some high school,standard,completed,71,68,68,Medium,12.0
female,high school,standard,none,57,61,59,Low,5.0
male,some high school,standard,completed,67,72,68,Medium,17.0
male,some high school,free/reduced,completed,45,51,49,Low,7.0
female,high school,standard,none,60,68,63,Medium,18.0
male,associate's degree,free/reduced,completed,65,66,65,Low,0.0
male,high school,standard,none,70,55,56,Medium,0.0
male,associate's degree,standard,completed,67,72,66,Low,0.0
male,some college,standard,none,68,59,61,High,11.0
female,high school,free/reduced,none,63,72,71,Medium,17.0
female,bachelor's degree,standard,completed,52,60,65,Low,14.0
female,high school,standard,none,77,80,80,Low,19.0
female,associate's degree,standard,none,82,92,93,High,8.0
male,associate's degree,standard,none,68,76,68,Medium,13.0
female,some college,standard,completed,70,88,88,Medium,8.0
male,some college,standard,none,83,77,71,Medium,13.0
female,some college,standard,none,61,72,69,Low,14.0
male,some high school,free/reduced,completed,49,50,51,Low,6.0
female,some college,standard,none,63,64,66,Low,15.0
female,associate's degree,standard,completed,88,92,94,High,12.0
male,some college,free/reduced,completed,49,47,53,Low,6.0
female,some high school,free/reduced,completed,28,40,44,Medium,15.0
male,some high school,free/reduced,none,67,62,53,High,13.0
female,bachelor's degree,standard,completed,58,64,74,Medium,14.0
male,associate's degree,standard,none,96,92,91,Medium,6.0
male,associate's degree,free/reduced,completed,59,50,55,Medium,10.0
female,high school,standard,none,43,60,52,High,11.0
female,master's degree,standard,none,49,53,57,Low,0.0
female,some college,standard,completed,78,86,90,Low,8.0
female,bachelor's degree,free/reduced,completed,93,99,99,Low,14.0
male,some high school,free/reduced,none,60,56,56,Medium,8.0
male,master's degree,standard,none,95,80,83,Medium,8.0
male,some college,standard,completed,100,97,98,Low,7.0
female,high school,standard,none,75,88,84,High,19.0
male,bachelor's degree,free/reduced,none,61,62,56,Low,7.0
male,some college,standard,none,81,81,83,High,15.0
female,associate's degree,free/reduced,completed,67,76,79,Medium,17.0
female,associate's degree,free/reduced,none,49,56,54,Medium,12.0
male,bachelor's degree,free/reduced,completed,69,68,72,Medium,0.0
male,some college,free/reduced,completed,68,59,63,Medium,14.0
male,some college,standard,none,43,54,52,Medium,5.0
male,high school,free/reduced,none,58,60,51,Low,5.0
female,associate's degree,standard,completed,64,74,76,Medium,4.0
female,some high school,standard,completed,44,50,54,Low,9.0
male,associate's degree,standard,completed,87,84,84,Medium,19.0
male,some college,standard,completed,99,96,86,Medium,19.0
female,bachelor's degree,standard,none,80,88,90,Low,17.0
male,some college,standard,none,68,60,53,Medium,13.0
female,some college,free/reduced,completed,52,66,73,High,5.0
female,associate's degree,standard,none,76,76,73,Low,14.0
female,bachelor's degree,standard,none,64,72,73,Medium,14.0
female,high school,free/reduced,none,34,60,53,Medium,6.0
female,associate's degree,free/reduced,completed,75,94,87,Medium,12.0
female,some college,standard,none,51,57,57,Low,11.0
female,high school,free/reduced,none,32,40,43,Low,15.0
male,some college,standard,none,52,54,48,Medium,6.0
male,some high school,standard,none,88,84,74,Low,17.0
male,some high school,free/reduced,completed,72,66,58,Low,12.0
female,associate's degree,standard,none,58,62,64,High,15.0
male,some college,free/reduced,none,67,67,61,Low,11.0
